,localminute,grid,ground_truth
0,06-05-2019 01:36,0.255,0
1,06-05-2019 01:36,0.256,0
2,06-05-2019 01:36,0.256,0
3,06-05-2019 01:36,0.257,0
4,06-05-2019 01:36,0.257,0
5,06-05-2019 01:36,0.255,0
6,06-05-2019 01:36,0.254,0
7,06-05-2019 01:36,0.254,0
8,06-05-2019 01:36,0.255,0
9,06-05-2019 01:36,0.256,0
10,06-05-2019 01:36,0.254,0
11,06-05-2019 01:36,0.255,0
12,31-07-2019 19:00,0.362,0
13,31-07-2019 19:00,0.376,0
14,31-07-2019 19:00,0.359,0
15,31-07-2019 19:00,0.37,0
16,31-07-2019 19:00,0.361,0
17,31-07-2019 19:00,0.377,0
18,31-07-2019 19:00,0.368,0
19,31-07-2019 19:00,0.377,0
20,31-07-2019 19:00,0.36,0
21,31-07-2019 19:00,0.367,0
22,31-07-2019 19:00,0.359,0
23,31-07-2019 19:00,0.369,0
24,31-07-2019 19:00,0.355,0
25,31-07-2019 19:00,0.374,0
26,31-07-2019 19:00,0.36,0
27,31-07-2019 19:00,0.367,0
28,31-07-2019 19:00,0.359,0
29,31-07-2019 19:00,0.37,0
30,31-07-2019 19:00,0.362,0
31,31-07-2019 19:00,0.376,0
32,31-07-2019 19:00,0.36,0
33,31-07-2019 19:00,0.378,0
34,31-07-2019 19:00,0.369,0
35,31-07-2019 19:00,0.373,0
36,31-07-2019 19:00,0.359,0
37,31-07-2019 19:00,0.373,0
38,31-07-2019 19:00,0.359,0
39,31-07-2019 19:00,0.369,0
40,31-07-2019 19:00,0.361,0
41,31-07-2019 19:00,0.368,0
42,31-07-2019 19:00,0.358,0
43,31-07-2019 19:00,0.376,0
44,31-07-2019 19:00,0.359,0
45,31-07-2019 19:00,0.369,0
46,31-07-2019 19:00,0.36,0
47,31-07-2019 19:00,0.37,0
48,31-07-2019 19:00,0.366,0
49,31-07-2019 19:00,0.392,0
50,31-07-2019 19:00,0.365,0
51,31-07-2019 19:00,0.371,0
52,31-07-2019 19:00,0.362,0
53,31-07-2019 19:00,0.374,0
54,31-07-2019 19:00,0.362,0
55,31-07-2019 19:00,0.382,0
56,31-07-2019 19:00,0.365,0
57,31-07-2019 19:00,0.372,0
58,31-07-2019 19:00,0.368,0
59,31-07-2019 19:00,0.375,0
60,31-07-2019 19:00,0.36,0
61,31-07-2019 19:00,0.372,0
62,31-07-2019 19:00,0.361,0
63,31-07-2019 19:00,0.375,0
64,31-07-2019 19:00,0.37,0
65,31-07-2019 19:00,0.371,0
66,31-07-2019 19:00,0.367,0
67,31-07-2019 19:00,0.382,0
68,31-07-2019 19:00,0.363,0
69,31-07-2019 19:00,0.371,0
70,31-07-2019 19:00,0.365,0
71,31-07-2019 19:00,0.372,0
72,31-07-2019 19:01,0.363,0
73,31-07-2019 19:01,0.374,0
74,31-07-2019 19:01,0.365,0
75,31-07-2019 19:01,0.374,0
76,31-07-2019 19:01,0.365,0
77,31-07-2019 19:01,0.373,0
78,31-07-2019 19:01,0.365,0
79,31-07-2019 19:01,0.38,0
80,31-07-2019 19:01,0.365,0
81,31-07-2019 19:01,0.375,0
82,31-07-2019 19:01,0.369,0
83,31-07-2019 19:01,0.376,0
84,31-07-2019 19:01,0.366,0
85,31-07-2019 19:01,0.38,0
86,31-07-2019 19:01,0.366,0
87,31-07-2019 19:01,0.375,0
88,31-07-2019 19:01,0.366,0
89,31-07-2019 19:01,0.375,0
90,31-07-2019 19:01,0.364,0
91,31-07-2019 19:01,0.374,0
92,31-07-2019 19:01,0.365,0
93,31-07-2019 19:01,0.374,0
